"Location","Scenario","Var","Month","Decade","Min","Max"
"Kamloops, British Columbia","RCP 6.0","Precipitation","Oct","2090-2099",5,36
"Kamloops, British Columbia","RCP 6.0","Precipitation","Nov","2090-2099",12,49
"Kamloops, British Columbia","RCP 6.0","Precipitation","Dec","2090-2099",8,85
"Kamloops, British Columbia","RCP 6.0","Temperature","Jan","2010-2019",-10.6,2.3
"Kamloops, British Columbia","RCP 6.0","Temperature","Feb","2010-2019",-6.7,3.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Mar","2010-2019",-0.1,8.1
"Kamloops, British Columbia","RCP 6.0","Temperature","Apr","2010-2019",4.8,13.6
"Kamloops, British Columbia","RCP 6.0","Temperature","May","2010-2019",10.3,17.9
"Kamloops, British Columbia","RCP 6.0","Temperature","Jun","2010-2019",13.2,21.6
"Kamloops, British Columbia","RCP 6.0","Temperature","Jul","2010-2019",16.8,23.5
